Freq.	V(v1)/I(V1)
3.13713713713712e+09	-5.68668527142175e+02,-6.55621106603069e+02
3.13813813813812e+09	-5.70601456437471e+02,-6.55433772562802e+02
3.13913913913912e+09	-5.72538253122130e+02,-6.55238538816242e+02
3.14014014014012e+09	-5.74478885737430e+02,-6.55035354522494e+02
3.14114114114112e+09	-5.76423322281982e+02,-6.54824168837817e+02
3.14214214214213e+09	-5.78371530208435e+02,-6.54604930920837e+02
3.14314314314313e+09	-5.80323476420257e+02,-6.54377589937841e+02
3.14414414414413e+09	-5.82279127268493e+02,-6.54142095068142e+02
3.14514514514513e+09	-5.84238448548596e+02,-6.53898395509515e+02
3.14614614614613e+09	-5.86201405497306e+02,-6.53646440483722e+02
3.14714714714713e+09	-5.88167962789541e+02,-6.53386179242099e+02
3.14814814814813e+09	-5.90138084535371e+02,-6.53117561071231e+02
3.14914914914913e+09	-5.92111734276998e+02,-6.52840535298693e+02
3.15015015015013e+09	-5.94088874985806e+02,-6.52555051298877e+02
3.15115115115113e+09	-5.96069469059466e+02,-6.52261058498886e+02
3.15215215215213e+09	-5.98053478319047e+02,-6.51958506384509e+02
3.15315315315313e+09	-6.00040864006240e+02,-6.51647344506274e+02
3.15415415415414e+09	-6.02031586780584e+02,-6.51327522485572e+02
3.15515515515514e+09	-6.04025606716782e+02,-6.50998990020859e+02
3.15615615615614e+09	-6.06022883302011e+02,-6.50661696893936e+02
3.15715715715714e+09	-6.08023375433405e+02,-6.50315592976301e+02
3.15815815815814e+09	-6.10027041415448e+02,-6.49960628235578e+02
3.15915915915914e+09	-6.12033838957552e+02,-6.49596752742023e+02
3.16016016016014e+09	-6.14043725171635e+02,-6.49223916675101e+02
3.16116116116114e+09	-6.16056656569748e+02,-6.48842070330141e+02
3.16216216216214e+09	-6.18072589061839e+02,-6.48451164125066e+02
3.16316316316314e+09	-6.20091477953492e+02,-6.48051148607193e+02
3.16416416416414e+09	-6.22113277943811e+02,-6.47641974460109e+02
3.16516516516515e+09	-6.24137943123308e+02,-6.47223592510624e+02
3.16616616616615e+09	-6.26165426971927e+02,-6.46795953735791e+02
3.16716716716715e+09	-6.28195682357080e+02,-6.46359009270004e+02
3.16816816816815e+09	-6.30228661531793e+02,-6.45912710412159e+02
3.16916916916915e+09	-6.32264316132933e+02,-6.45457008632903e+02
3.17017017017015e+09	-6.34302597179483e+02,-6.44991855581934e+02
3.17117117117115e+09	-6.36343455070898e+02,-6.44517203095390e+02
3.17217217217215e+09	-6.38386839585592e+02,-6.44033003203294e+02
3.17317317317315e+09	-6.40432699879433e+02,-6.43539208137076e+02
3.17417417417415e+09	-6.42480984484385e+02,-6.43035770337163e+02
3.17517517517515e+09	-6.44531641307192e+02,-6.42522642460632e+02
3.17617617617616e+09	-6.46584617628173e+02,-6.41999777388939e+02
3.17717717717716e+09	-6.48639860100102e+02,-6.41467128235702e+02
3.17817817817816e+09	-6.50697314747164e+02,-6.40924648354567e+02
3.17917917917916e+09	-6.52756926964045e+02,-6.40372291347118e+02
3.18018018018016e+09	-6.54818641515033e+02,-6.39810011070873e+02
3.18118118118116e+09	-6.56882402533325e+02,-6.39237761647323e+02
3.18218218218216e+09	-6.58948153520337e+02,-6.38655497470047e+02
3.18318318318316e+09	-6.61015837345156e+02,-6.38063173212885e+02
3.18418418418416e+09	-6.63085396244092e+02,-6.37460743838165e+02
3.18518518518516e+09	-6.65156771820324e+02,-6.36848164605000e+02
3.18618618618616e+09	-6.67229905043644e+02,-6.36225391077630e+02
3.18718718718716e+09	-6.69304736250331e+02,-6.35592379133838e+02
3.18818818818817e+09	-6.71381205143097e+02,-6.34949084973402e+02
3.18918918918917e+09	-6.73459250791163e+02,-6.34295465126619e+02
3.19019019019017e+09	-6.75538811630454e+02,-6.33631476462873e+02
3.19119119119117e+09	-6.77619825463882e+02,-6.32957076199254e+02
3.19219219219217e+09	-6.79702229461765e+02,-6.32272221909239e+02
3.19319319319317e+09	-6.81785960162339e+02,-6.31576871531406e+02
3.19419419419417e+09	-6.83870953472405e+02,-6.30870983378213e+02
3.19519519519517e+09	-6.85957144668088e+02,-6.30154516144809e+02
3.19619619619617e+09	-6.88044468395719e+02,-6.29427428917901e+02
3.19719719719717e+09	-6.90132858672853e+02,-6.28689681184658e+02
3.19819819819817e+09	-6.92222248889320e+02,-6.27941232841663e+02
3.19919919919918e+09	-6.94312571808582e+02,-6.27182044203900e+02
3.20020020020018e+09	-6.96403759569016e+02,-6.26412076013784e+02
3.20120120120118e+09	-6.98495743685476e+02,-6.25631289450222e+02
3.20220220220218e+09	-7.00588455050879e+02,-6.24839646137725e+02
3.20320320320318e+09	-7.02681823938001e+02,-6.24037108155530e+02
3.20420420420418e+09	-7.04775780001364e+02,-6.23223638046777e+02
3.20520520520518e+09	-7.06870252279241e+02,-6.22399198827703e+02
3.20620620620618e+09	-7.08965169195845e+02,-6.21563753996871e+02
3.20720720720718e+09	-7.11060458563623e+02,-6.20717267544414e+02
3.20820820820818e+09	-7.13156047585672e+02,-6.19859703961327e+02
3.20920920920918e+09	-7.15251862858343e+02,-6.18991028248750e+02
3.21021021021019e+09	-7.17347830373945e+02,-6.18111205927300e+02
3.21121121121119e+09	-7.19443875523584e+02,-6.17220203046408e+02
3.21221221221219e+09	-7.21539923100194e+02,-6.16317986193665e+02
3.21321321321319e+09	-7.23635897301664e+02,-6.15404522504207e+02
3.21421421421419e+09	-7.25731721734124e+02,-6.14479779670085e+02
3.21521521521519e+09	-7.27827319415397e+02,-6.13543725949655e+02
