#Parameters = {H=1.52; R=0.5; a=21.9; delta=0.5; feed_x=3.53015; feed_y=17.264891287914; gap=2.01579; gnd_x=100; gnd_y=60; mod_ratio=1.0715; patch_x=26.0766; patch_y=20.438637424172; res_ratio=26.36; res_x=12.300513299113; res_y=0.5; short_pos=-13.235108712086; t=0.035}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
3.0550000667572	-0.38639138214050
3.0559999942780	-0.38304927069461
3.0569999217987	-0.37985117530755
3.0580000877380	-0.37681257479786
3.0590000152588	-0.37394666613439
3.0599999427795	-0.37126690433218
3.0610001087189	-0.36878686428878
3.0620000362396	-0.36651750595849
3.0629999637604	-0.36446907046259
3.0639998912811	-0.36265235475232
3.0650000572205	-0.36107466990850
3.0659999847412	-0.35974613703294
3.0669999122620	-0.35867186702623
3.0680000782013	-0.35785737372517
3.0690000057220	-0.35730819976738
3.0699999332428	-0.35702856265863
3.0710000991821	-0.35702066029969
3.0720000267029	-0.35728687507105
3.0729999542236	-0.35782729710666
3.0739998817444	-0.35864148873478
3.0750000476837	-0.35973069170667
3.0759999752045	-0.36109006402229
3.0769999027252	-0.36271765925303
3.0780000686646	-0.36460983613034
3.0789999961853	-0.36676245915758
3.0799999237061	-0.36916975989828
3.0810000896454	-0.37182379060199
3.0820000171661	-0.37471845797521
3.0829999446869	-0.37784673657152
3.0840001106262	-0.38119806065769
3.0850000381470	-0.38476382139772
3.0859999656677	-0.38853447765603
3.0869998931885	-0.39249963197934
3.0880000591278	-0.39664762228404
3.0889999866486	-0.40096655839221
3.0899999141693	-0.40544422076488
3.0910000801086	-0.41006841227240
3.0920000076294	-0.41482645265346
3.0929999351501	-0.41970376028990
3.0940001010895	-0.42468758391273
3.0950000286102	-0.42976540372013
3.0959999561310	-0.43492098600240
3.0969998836517	-0.44014101279195
3.0980000495911	-0.44541172902098
3.0989999771118	-0.45071929423646
3.0999999046326	-0.45604824609455
3.1010000705719	-0.46138509890899
3.1019999980927	-0.46671562010348
3.1029999256134	-0.47202666647915
3.1040000915527	-0.47730543577288
3.1050000190735	-0.48253579715736
3.1059999465942	-0.48770801524830
3.1070001125336	-0.49280830382893
3.1080000400543	-0.49782313117063
3.1089999675751	-0.50274301564989
3.1099998950958	-0.50755694744367
3.1110000610352	-0.51225221363658
3.1119999885559	-0.51682123446023
3.1129999160767	-0.52125305369172
3.1140000820160	-0.52553986375585
3.1150000095367	-0.52967386353869
3.1159999370575	-0.53364624403256
3.1170001029968	-0.53745265594952
3.1180000305176	-0.54108506398036
3.1189999580383	-0.54454039997850
3.1199998855591	-0.54781470972533
3.1210000514984	-0.55090264484011
3.1219999790192	-0.55380298939127
3.1229999065399	-0.55651420280004
3.1240000724792	-0.55903422060635
3.1250000000000	-0.56136466541570
3.1259999275208	-0.56350467225358
3.1270000934601	-0.56545567236019
3.1280000209808	-0.56721974856755
3.1289999485016	-0.56880287739003
3.1300001144409	-0.57020585364714
3.1310000419617	-0.57143318978615
3.1319999694824	-0.57249090380841
3.1329998970032	-0.57338430599293
3.1340000629425	-0.57412128514846
3.1349999904633	-0.57470744874903
3.1359999179840	-0.57514986546759
3.1370000839233	-0.57545989970391
3.1380000114441	-0.57564328802634
3.1389999389648	-0.57571001103353
3.1400001049042	-0.57566996621523
3.1410000324249	-0.57553350576736
3.1419999599457	-0.57530922169034
3.1429998874664	-0.57500942432165
3.1440000534058	-0.57464486316316
3.1449999809265	-0.57422532396840
3.1459999084473	-0.57376359906283
3.1470000743866	-0.57326897929782
3.1480000019073	-0.57275527172056
3.1489999294281	-0.57223220721338
3.1500000953674	-0.57171184778929
3.1510000228882	-0.57120557462568
3.1519999504089	-0.57072495499267
3.1530001163483	-0.57027966411407
3.1540000438690	-0.56988137998167
3.1549999713898	-0.56954225057114
3.1559998989105	-0.56927083518908
3.1570000648499	-0.56907878344754
3.1579999923706	-0.56897488422047
3.1589999198914	-0.56896881993999
3.1600000858307	-0.56907050870609
3.1610000133514	-0.56928924988095
3.1619999408722	-0.56963108236871
3.1630001068115	-0.57010624202360
3.1640000343323	-0.57072041292080
3.1649999618530	-0.57148242116366
3.1659998893738	-0.57239756792407
3.1670000553131	-0.57347192347535
3.1679999828339	-0.57471074187557
3.1689999103546	-0.57611896133587
3.1700000762939	-0.57770188362232
3.1710000038147	-0.57946195815775
3.1719999313354	-0.58140293273011
3.1730000972748	-0.58352650334199
3.1740000247955	-0.58583587946957
3.1749999523163	-0.58833257362381
