Time,V(OUTPUT)
7.535173386227e-008,5.765813966993e+000
7.535288837485e-008,5.897126584089e+000
7.535469772361e-008,6.093271596265e+000
7.535704931311e-008,6.330042508319e+000
7.536172484347e-008,6.737306368634e+000
7.536817425230e-008,7.156321988767e+000
7.537231499978e-008,7.341064019440e+000
7.537630731772e-008,7.461979353087e+000
7.538009663645e-008,7.528566933757e+000
7.538636778431e-008,7.548192364516e+000
7.538917848674e-008,7.520254463207e+000
7.539087742284e-008,7.491716333441e+000
7.539256398982e-008,7.454008399633e+000
7.539461726506e-008,7.394615431650e+000
7.539669273197e-008,7.317943655179e+000
7.540041438429e-008,7.133433034923e+000
7.540548063357e-008,6.775154463586e+000
7.541081463810e-008,6.261055047902e+000
7.541587506662e-008,5.648592384045e+000
7.542151611656e-008,4.837279191043e+000
7.542692870143e-008,3.960555802493e+000
7.542760218225e-008,3.846041420774e+000
7.542894914391e-008,3.614416857330e+000
7.543164306721e-008,3.142860780119e+000
7.543516535830e-008,2.516689521009e+000
7.543938323092e-008,1.761277824077e+000
7.544415844191e-008,9.168699168545e-001
7.544892783212e-008,9.901555524509e-002
7.545308967988e-008,-5.863985300470e-001
7.545720859948e-008,-1.237270539879e+000
7.546229667664e-008,-2.003352383105e+000
7.546958573098e-008,-3.029785123062e+000
7.547422779194e-008,-3.641606806003e+000
7.547871341981e-008,-4.202146807858e+000
7.547967602900e-008,-4.318525494199e+000
7.548160124739e-008,-4.547022890247e+000
7.548545168415e-008,-4.986007378241e+000
7.548918061243e-008,-5.386169083014e+000
7.549225725111e-008,-5.695708228251e+000
7.549534589512e-008,-5.985102732713e+000
7.549828174401e-008,-6.238431464457e+000
7.549901570624e-008,-6.298088292585e+000
7.550048363069e-008,-6.412563337556e+000
7.550341947958e-008,-6.621047796899e+000
7.550383316325e-008,-6.648156683439e+000
7.550466053058e-008,-6.700597032154e+000
7.550631526524e-008,-6.798211842237e+000
7.550962473456e-008,-6.963264355551e+000
7.551424715043e-008,-7.124437507223e+000
7.552060997537e-008,-7.213998712645e+000
7.552668103440e-008,-7.162574360568e+000
7.553192045148e-008,-7.014416280372e+000
7.553723190054e-008,-6.768000971493e+000
7.554376789326e-008,-6.335026198017e+000
7.555119082522e-008,-5.677698656391e+000
7.555579432360e-008,-5.194536796783e+000
