Freq.	S11(v1)	S21(v1)	S12(v1)	S22(v1)
2.73373373373373e+09	(-1.87977664135788e+00dB,1.28274037489096e+02°)	(-4.54307049797625e+00dB,1.30294300633084e+02°)	(-4.54307049797625e+00dB,1.30294300633084e+02°)	(-1.87971672848096e+00dB,-4.76838538342146e+01°)
2.73773773773774e+09	(-1.90284302133931e+00dB,1.28053035924972e+02°)	(-4.50080039145455e+00dB,1.30076254654340e+02°)	(-4.50080039145456e+00dB,1.30076254654340e+02°)	(-1.90278291825100e+00dB,-4.78989394055313e+01°)
2.74174174174174e+09	(-1.92620821211044e+00dB,1.27830944265133e+02°)	(-4.45862303480320e+00dB,1.29857118545281e+02°)	(-4.45862303480320e+00dB,1.29857118545281e+02°)	(-1.92614791676683e+00dB,-4.81151150791781e+01°)
2.74574574574574e+09	(-1.94987629220851e+00dB,1.27607759731567e+02°)	(-4.41653986484801e+00dB,1.29636889527552e+02°)	(-4.41653986484801e+00dB,1.29636889527552e+02°)	(-1.94981580253319e+00dB,-4.83323836329108e+01°)
2.74974974974975e+09	(-1.97385139731100e+00dB,1.27383479638656e+02°)	(-4.37455233549510e+00dB,1.29415564915186e+02°)	(-4.37455233549510e+00dB,1.29415564915186e+02°)	(-1.97379071119440e+00dB,-4.85507477520845e+01°)
2.75375375375375e+09	(-1.99813772106396e+00dB,1.27158101395774e+02°)	(-4.33266191768908e+00dB,1.29193142117195e+02°)	(-4.33266191768908e+00dB,1.29193142117195e+02°)	(-1.99807683636259e+00dB,-4.87702100270592e+01°)
2.75775775775776e+09	(-2.02273951592567e+00dB,1.26931622509903e+02°)	(-4.29087009936325e+00dB,1.28969618640199e+02°)	(-4.29087009936325e+00dB,1.28969618640199e+02°)	(-2.02267843046144e+00dB,-4.89907729505760e+01°)
2.76176176176176e+09	(-2.04766109402636e+00dB,1.26704040588290e+02°)	(-4.24917838538171e+00dB,1.28744992091069e+02°)	(-4.24917838538171e+00dB,1.28744992091069e+02°)	(-2.04759980558579e+00dB,-4.92124389151067e+01°)
2.76576576576576e+09	(-2.07290682804439e+00dB,1.26475353341122e+02°)	(-4.20758829747312e+00dB,1.28519260179613e+02°)	(-4.20758829747313e+00dB,1.28519260179613e+02°)	(-2.07284533437786e+00dB,-4.94352102101756e+01°)
2.76976976976977e+09	(-2.09848115209958e+00dB,1.26245558584230e+02°)	(-4.16610137415597e+00dB,1.28292420721271e+02°)	(-4.16610137415597e+00dB,1.28292420721271e+02°)	(-2.09841945092052e+00dB,-4.96590890196566e+01°)
